Tweet,Class
مع انك قذر وواطي بس اوافقك الرأي ,Offensive
الخلع والكسر يستخدمه ابو منشار الأخرق في كل مكان يا جربوع,Offensive
الله يلعن كل من دمر لبنان وداس ع رقاب اللبنانيين إبتداءً بإسرائيل أبو عمار ناصر حافظ معمر صدام الخميني… ,Offensive
الروس المفروض ينشهروا بالوقاحة مو بالڤودكا,Offensive
الله يلعن الإخوان المسلمين و بلي بذرهم للمرة الالف على التوالي أُناشد رئيس كوريا الشمالية المحترم كيم… ,Offensive
جوز كذابين منافقين…,Offensive
مين هالشيخ ،، ومين وهاب ومين طلال ،، مع بعضن مش مخلصين لا بالدنيي ولا بالآخرة ،،… ,Non-Offensive
لا تندهي يا رابعة ما في حدا ,Non-Offensive
بالتأكيد جبران باسيل سيجعل المسيحين ينسون شيء،واعتقد سيكون الحليب الذي رضعوه,Non-Offensive
السنّة مفهوم، بس الشيعة ليش؟,Non-Offensive
ابنك ذكي يا ثريا بس حمار العقاب لوهاب وهاب قاتل ابو دياب ,Offensive
ضرط الزمان على الاندال فعلاهم ,Offensive
هاهاهاها هاهاهاها عنجد حبيبي شو عم تحكي والله يا بيبي انا ما بعرف شو يعني صهيوني بس شفتو… ,Non-Offensive
شفيك يادكتور ولا غير متابع هذا ذنب ايران المجوسيه المعديه المتخلفه مالقيت تمدح ألا هذا الشخص للتذكير وئ… ,Offensive
مش مهم متى حصلت، ولكن هذا الفعل نحتاجه في لبنان بشدة من أجل كل ألسياسين بدون إستثناء من كبيرهم إلى صغير… ,Non-Offensive
لا انت ولا معلمك فيك تدق بصرمايته يا صرماية عتيقة ,Offensive
يخرب بيتك ذو ذكي من أي حظيرة حيوانات فلت هذا البغل؟؟؟,Offensive
آخر فضيحة,Non-Offensive
لازم يلغي هالنظام المعفن الكائفي الذي لا يستولد سوى طائفيين فاسدين عفنين ,Offensive
سعد الحريري من يوم يومه يخدم الناس سعد الحريري رجل الاعتدال والانسانية والكرامة لو لا سعد الحريري لكان… ,Non-Offensive
ليكو بيكتب عربي هايدا شو اسمو ايه والله لك ليخرب عقل لشو بدك فيما تقلع على حالك و خليك باليت ,Non-Offensive
يألله ابدأ لشوف يا بطل نبيه بري، سعد الحريري، حسن نصرالله، أمين الجميل، جبران باسيل، نقولا فتوش، ولي…,Non-Offensive
هي وقفت على زعابيط التويتر في زعابيط عملوهم وزراء ونواب,Non-Offensive
والبلطجي جبران باسيل المال لمعه حلال ولله حراميا شيخة,Offensive
صح للحقد ولا البغض راح يوصلوا لنتيجة يا ريت بيستحي على كبروا عيب بالنهاية اهلا وسهلا ب… ,Non-Offensive
قبل ما تقترح شوف نفسك على المرايا ,Non-Offensive
انت حقآ وقح عاهرة تحاضر بالعفة ,Offensive
جبران باسيل لان فيه نشم رائحة الغيرة والحماس لكرامة لبنان,Non-Offensive
وهاب غياب سوريا عن القمة العربية افقدها اهميتها ,Non-Offensive
نحنا جماعه ديلفيري م منفهم نترجم كلام المثقفين امثال جبران باسيل اوك,Non-Offensive
عم تحلم،،، ,Non-Offensive
نتمنى انك تخرس خالص  ,Offensive
عم يتسابقو بتحريف و بقلب حقايق مقابلة جبران باسيل يلي واضحة متل عين شمس متل ما وطنيتو واضحة متل عين الشمس و إبداعو و فخرو بل…,Non-Offensive
بسيطة هلق بيفقعون خطاب كلو مشاعر وشوية طائفية بيمشي الحال وبتروح الريحة,Non-Offensive
مين قدر يوصّل رسالة وجوب مشاركة سوريا بالقمة العربية وعدم مقاطعتها بطريقة افضل، نبيه بري ام جبران باسيل؟ الاول استعمل البل…,Non-Offensive
فلوس قطر مهمتها السيطره على الحيوانات والبهايم وفي الاخير يشتغلو في القواده هذه نهاية كل شخص يدخل او يهتم بقطر ,Offensive
اللي ما فهم بعد إنو الأخبار اللي عم تطلع كل يوم ع جبران باسيل هيي تلفيقات أقل ما يقال عنّا تافهة ، بيكون ساذج بأقل…,Non-Offensive
كم تعداد الجيش الاردني؟,Non-Offensive
من اعطاك مفتاح بيروت حتى تمنع من تريد ،وتستقبل من تريد بيروت عاصمة مشرعة الابواب ,Non-Offensive
ما فهمت من المخطئ ,Non-Offensive
صدق الوئام لأن الكتلة السياسية التي تقود اليوم قاطرة العهر السياسي لم تتوانى في هتك المسلّمات وتجاوز ك… ,Offensive
أنت أكيد بتشبه وليد جان بولاد ,Non-Offensive
سيرى الناس كيف سيزحف كل من أساء لسوريا وحلفاء سوريا للأعتذار نادمين خانعين ,Non-Offensive
ما ابيخك ولوووووووه ,Offensive
ما بيستقو الا على لضعاف ,Non-Offensive
إزا مانك قد الخبز والملح روح كول هوا مع أمثالك ياغالي,Offensive
جبران باسيل ل كارولين صرنا معودين على الخوزئة قبل امير قطر فيه كارلوس سليم اغنى رجل بالعالم مسحنا صب…,Offensive
انت بوق ايراني مجوسي رخيص سعرك كلفول السوداني,Offensive
يجب ان تعمم على كافة وظائف الدولة ,Non-Offensive
صدام بالكندرة خلاه يأسلم 😂,Offensive
والله العظيم انا مش فهمان ولا كلمه قالها وهاب حدا بس يترجملي ,Non-Offensive
وقاتلة كمال جنبلاط وقاتلة الحريري وجبران التويني وسمير قصير وسليم اللوزي والشيخ حسن خالد وكتار من الاحرار في بل… ,Non-Offensive
ديما اكتر شخص مستفز عا تي في هوا الحريه,Non-Offensive
شو يلي بيضه؟ العرب مو بيض,Non-Offensive
الله ينصر المسلمين والعرب من داعم الارهاب المجرم تميم ,Offensive
مي شيدياق ناحسة سما هالحكومة يا جماعة غيروها بركي بيمشي الحال,Offensive
بدنا نيزك او شي قنبلة هيدروجينية ,Non-Offensive
هيدا انسان تافه وكاذب كل هدف المقال القواص على جبران باسيل,Offensive
خليك عم تجرب تفتن، هيدة شغلتك ,Offensive
من أهم الإشارات في حديث السيد نصر الله ذكر وثائق وكيليكس بالنسبة للثقة بالرئيس عون والوزير جبران باسيل,Non-Offensive
بعد تأكيده أن لا خلاف إيديولوجي مع اسرائيل، وزير خارجية العهد القوي جبران باسيل يؤكّد في مقابلة مع قناة سيإنإن أن أمن…,Non-Offensive
هدا الشعب اللي طرد الاسرائيلي ، لازم يصحى يوم ويطرد أصحاب المواكب ، لبنان كان درة المنطقة ، مو حرام… ,Non-Offensive
كول هوا يامهجن ياخلية نحل قذرة منتشرين من حر ماتونسون,Offensive
وزير الخارجية اللبناني جبران باسيل يبعتلو حمى يقول عمدة قرية شرق سلوى كسر الحصار على قريته بحضور القمة,Offensive
شكرا معالي وزير العدل ,Non-Offensive
هيك بتزعل عمك السيء نصر الله وعمتكن كلكن شريفة إيران أنت وتميم وأبو صواويخ تحت سيادة إيران وكلكم أل… ,Offensive
منيح تعلمت شي منيح من الفرس الصبر ,Non-Offensive
من رفع الدعوى ؟ وأيّ الجوابين أفصح وأتمّ قولا ,Non-Offensive
كول هوا  مك على ام فالفيردي,Offensive
التنين نفس الخريه      ,Offensive
معك حق اخي ولكن هو من اتى بهم ,Non-Offensive
روح انقبر ضب حالك ,Offensive
هههههه أعصابك يا هبيلة,Offensive
ولي انتي قوات انتي مش مع المناصفة ؟ لكن سكري هالدكانة بمعراب ونزلي التحقي بالحزب ال… ,Non-Offensive
باسيل لإعادة النازحين ودعم قطري للبنان باسيل يبحث لحل عقدة تشكيل الحكومة,Non-Offensive
لا تخربوا أوطانكم كما فعل العرب,Non-Offensive
لو بدا تتاجر كانت من أول يوم أعلنت مرضها بس يا سيد لي كشف أنو مريضة هوي المركز لي تعالجت فيه من بعد شفائها ورجعت هيي أعلنت هلق إذا هيي ضد توجهاتك السياسية مش ضروري تكون رخيصة هيي إمرأة إرادتها قوية وبحقلا متلا متل,Non-Offensive
طيب نحكي منطق معقول الشيخ نعيم حسن يقول على الملأ نؤيد سياسة وليد جنبلاط؟ معقول يعملوا إجتماع من لون… ,Non-Offensive
